EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,M,12 18 ,"3,62 ",11,10,— ,— ,— ,—
2,M,00 48 ,"3,65 ",11,11,13 15 ,"3,68 ",12,0
3,J,01 37 ,"3,78 ",12,4,14 02 ,"3,75 ",12,3
4,V,02 20 ,"3,91 ",12,9,14 44 ,"3,81 ",12,5
5,S,02 58 ,"4,00 ",13,1,15 21 ,"3,86 ",12,7
6,,03 34 ,"4,07 ",13,4,15 55 ,"3,87 ",12,8
7,L,04 08 ,"4,09 ",13,5,16 28 ,"3,85 ",12,7
8,M,04 41 ,"4,07 ",13,4,17 00 ,"3,80 ",12,5
9,M,05 14 ,"4,01 ",13,1,17 33 ,"3,72 ",12,2
10,J,05 49 ,"3,92 ",12,10,18 07 ,"3,61 ",11 10,
11,V,06 26 ,"3,80 ",12,5,18 45 ,"3,50 ",11,5
12,S,07 06 ,"3,67 ",12,0,19 28 ,"3,38 ",11,1
13,D,07 53 ,"3,53 ",11,6,20 21 ,"3,27 ",10,8
14,,08 49 ,"3,41 ",11,2,21 25 ,"3,22 ",10,6
15,M,09 56 ,"3,35 ",10,11,22 37 ,"3,26 ",10,8
16,M,11 08 ,"3,39 ",11,1,23 46 ,"3,40 ",11,1
17,J,12 14 ,"3,53 ",11,6,— ,— ,— ,—
18,V,00 45 ,"3,63 ",11,10,13 13 ,"3,74 ",12,3
19,S,01 38 ,"3,90 ",12,9,14 06 ,"3,98 ",13,0
20,D,02 27 ,"4,16 ",13,7,14 55 ,"4,19 ",13,8
21,,03 15 ,"4,40 ",14,5,15 43 ,"4,34 ",14,2
22,M,04 02 ,"4,56 ",14,11,16 31 ,"4,41 ",14,5
23,M,04 49 ,"4,63 ",15,2,17 19 ,"4,37 ",14,4
24,J,05 37 ,"4,57 ",14,11,18 07 ,"4,23 ",13 10,
25,V,06 27 ,"4,40 ",14,5,18 57 ,"4,02 ",13,2
26,S,07 18 ,"4,15 ",13,7,19 50 ,"3,77 ",12,4
27,,08 14 ,"3,85 ",12,7,20 49 ,"3,54 ",11,7
28,L,09 18 ,"3,56 ",11,8,21 58 ,"3,37 ",11,0
29,M,10 33 ,"3,37 ",11,0,23 13 ,"3,32 ",10 10,
30,M,11 51 ,"3,31 ",10,10,— ,— ,— ,—
31,J,00 22 ,"3,39 ",11,1,12 58 ,"3,36 ",11,0
EGUNAK-DÍAS,,ITSASBEHERA-BAJAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,M,05 45 ,"1,38 ",4,6,18 23 ,"1,28 ",4,2
2,M,06 46 ,"1,29 ",4,2,19 16 ,"1,20 ",3 11,
3,J,07 38 ,"1,16 ",3,9,20 01 ,"1,11 ",3,7
4,V,08 23 ,"1,04 ",3,4,20 41 ,"1,03 ",3,4
5,S,09 04 ,"0,95 ",3,1,21 19 ,"0,97 ",3,2
6,,09 42 ,"0,89 ",2,11,21 55 ,"0,94 ",3,1
7,L,10 18 ,"0,87 ",2,10,22 29 ,"0,96 ",3,1
8,M,10 53 ,"0,89 ",2,11,23 03 ,"1,01 ",3,3
9,M,11 27 ,"0,96 ",3,1,23 37 ,"1,10 ",3,7
10,J,12 02 ,"1,06 ",3,5,— ,— ,— ,—
11,V,00 13 ,"1,21 ",3,11,12 39 ,"1,18 ",3 10,
12,S,00 51 ,"1,34 ",4,4,13 19 ,"1,32 ",4,3
13,D,01 35 ,"1,47 ",4,9,14 07 ,"1,45 ",4,9
14,,02 28 ,"1,59 ",5,2,15 03 ,"1,55 ",5,1
15,M,03 33 ,"1,66 ",5,5,16 09 ,"1,58 ",5,2
16,M,04 45 ,"1,62 ",5,3,17 18 ,"1,50 ",4 11,
17,J,05 54 ,"1,47 ",4,9,18 21 ,"1,33 ",4,4
18,V,06 54 ,"1,23 ",4,0,19 16 ,"1,09 ",3,6
19,S,07 48 ,"0,94 ",3,1,20 07 ,"0,84 ",2,9
20,D,08 38 ,"0,64 ",2,1,20 55 ,"0,62 ",2,0
21,,09 27 ,"0,39 ",1,3,21 42 ,"0,45 ",1,5
22,M,10 14 ,"0,23 ",0,9,22 28 ,"0,37 ",1,2
23,M,11 02 ,"0,19 ",0,7,23 16 ,"0,39 ",1,3
24,J,11 50 ,"0,28 ",0,11,— ,— ,— ,—
25,V,00 04 ,"0,51 ",1,8,12 39 ,"0,48 ",1,6
26,S,00 54 ,"0,71 ",2,3,13 31 ,"0,76 ",2,5
27,,01 47 ,"0,97 ",3,2,14 27 ,"1,06 ",3,5
28,L,02 47 ,"1,23 ",4,0,15 30 ,"1,32 ",4,3
29,M,03 56 ,"1,43 ",4,8,16 42 ,"1,48 ",4 10,
30,M,05 12 ,"1,51 ",4,11,17 55 ,"1,50 ",4 11,
31,J,06 25 ,"1,45 ",4,9,18 57 ,"1,41 ",4,7
EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,OTSAILA 2019 FEBRERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,V,01 20 ,"3,53 ",11,6,13 51 ,"3,47 ",11,4
2,S,02 06 ,"3,69 ",12,1,14 33 ,"3,59 ",11,9
3,D,02 45 ,"3,84 ",12,7,15 08 ,"3,70 ",12,1
4,,03 19 ,"3,96 ",12,11,15 40 ,"3,78 ",12,4
5,M,03 51 ,"4,04 ",13,3,16 10 ,"3,83 ",12,6
