index;NAME;UNITS;PROJ;TYPE_VAR;LEVEL_Pa;TIMESTAMP;DATE
1;Pressure reduced to MSL;Pa (instant);lambert;meanSea;level 0;fcst time 4 hrs;from 201904260000
2;Derived radar reflectivity;dB (instant);lambert;hybrid;level 1;fcst time 4 hrs;from 201904260000
3;Maximum/Composite radar reflectivity;dB (instant);lambert;unknown;level 0 considered as a single layer;fcst time 4 hrs;from 201904260000
4;Visibility;m (instant);lambert;surface;level 0;fcst time 4 hrs;from 201904260000
5;Visibility;m (instant);lambert;cloudTop;level 0;fcst time 4 hrs;from 201904260000
6;Blackadar mixing length scale;m (instant);lambert;hybrid;level 1;fcst time 4 hrs;from 201904260000
7;Geopotential Height;gpm (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
8;U component of wind;m s**-1 (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
9;V component of wind;m s**-1 (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
10;Ventilation Rate;m**2 s**-1 (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
11;Wind speed (gust);m s**-1 (instant);lambert;surface;level 0;fcst time 4 hrs;from 201904260000
12;197;197 (instant);lambert;unknown;level 0 considered as a single layer;fcst time 4 hrs;from 201904260000
13;Geometric vertical velocity;m s**-1 (instant);lambert;isobaricInhPa;level 500 Pa;fcst time 4 hrs;from 201904260000
14;Geometric vertical velocity;m s**-1 (instant);lambert;isobaricInhPa;level 1000 Pa;fcst time 4 hrs;from 201904260000
15;Geometric vertical velocity;m s**-1 (instant);lambert;isobaricInhPa;level 2000 Pa;fcst time 4 hrs;from 201904260000
16;Geopotential Height;gpm (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
17;Temperature;K (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
18;Relative humidity;% (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
19;Vertical velocity;Pa s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
20;Geometric vertical velocity;m s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
21;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
22;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
23;Turbulent kinetic energy;J kg**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
24;Geopotential Height;gpm (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
25;Temperature;K (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
26;Relative humidity;% (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
27;Vertical velocity;Pa s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
28;Geometric vertical velocity;m s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
29;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
30;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
