index;NAME;UNITS;PROJ;TYPE_VAR;LEVEL_Pa;TIMESTAMP;DATE
8;U component of wind;m s**-1 (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
9;V component of wind;m s**-1 (instant);lambert;unknown;level 0;fcst time 4 hrs;from 201904260000
11;Wind speed (gust);m s**-1 (instant);lambert;surface;level 0;fcst time 4 hrs;from 201904260000
21;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
22;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 5000 Pa;fcst time 4 hrs;from 201904260000
29;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
30;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 7500 Pa;fcst time 4 hrs;from 201904260000
37;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 10000 Pa;fcst time 4 hrs;from 201904260000
38;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 10000 Pa;fcst time 4 hrs;from 201904260000
45;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 12500 Pa;fcst time 4 hrs;from 201904260000
46;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 12500 Pa;fcst time 4 hrs;from 201904260000
53;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 15000 Pa;fcst time 4 hrs;from 201904260000
54;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 15000 Pa;fcst time 4 hrs;from 201904260000
61;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 17500 Pa;fcst time 4 hrs;from 201904260000
62;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 17500 Pa;fcst time 4 hrs;from 201904260000
69;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 20000 Pa;fcst time 4 hrs;from 201904260000
70;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 20000 Pa;fcst time 4 hrs;from 201904260000
77;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 22500 Pa;fcst time 4 hrs;from 201904260000
78;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 22500 Pa;fcst time 4 hrs;from 201904260000
85;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 25000 Pa;fcst time 4 hrs;from 201904260000
86;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 25000 Pa;fcst time 4 hrs;from 201904260000
94;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 27500 Pa;fcst time 4 hrs;from 201904260000
95;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 27500 Pa;fcst time 4 hrs;from 201904260000
102;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 30000 Pa;fcst time 4 hrs;from 201904260000
103;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 30000 Pa;fcst time 4 hrs;from 201904260000
110;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 32500 Pa;fcst time 4 hrs;from 201904260000
111;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 32500 Pa;fcst time 4 hrs;from 201904260000
118;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 35000 Pa;fcst time 4 hrs;from 201904260000
119;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 35000 Pa;fcst time 4 hrs;from 201904260000
126;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 37500 Pa;fcst time 4 hrs;from 201904260000
127;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 37500 Pa;fcst time 4 hrs;from 201904260000
134;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 40000 Pa;fcst time 4 hrs;from 201904260000
135;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 40000 Pa;fcst time 4 hrs;from 201904260000
142;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 42500 Pa;fcst time 4 hrs;from 201904260000
143;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 42500 Pa;fcst time 4 hrs;from 201904260000
150;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 45000 Pa;fcst time 4 hrs;from 201904260000
151;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 45000 Pa;fcst time 4 hrs;from 201904260000
158;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 47500 Pa;fcst time 4 hrs;from 201904260000
159;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 47500 Pa;fcst time 4 hrs;from 201904260000
166;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 50000 Pa;fcst time 4 hrs;from 201904260000
167;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 50000 Pa;fcst time 4 hrs;from 201904260000
175;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 52500 Pa;fcst time 4 hrs;from 201904260000
176;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 52500 Pa;fcst time 4 hrs;from 201904260000
183;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 55000 Pa;fcst time 4 hrs;from 201904260000
184;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 55000 Pa;fcst time 4 hrs;from 201904260000
191;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 57500 Pa;fcst time 4 hrs;from 201904260000
192;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 57500 Pa;fcst time 4 hrs;from 201904260000
199;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 60000 Pa;fcst time 4 hrs;from 201904260000
200;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 60000 Pa;fcst time 4 hrs;from 201904260000
207;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 62500 Pa;fcst time 4 hrs;from 201904260000
208;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 62500 Pa;fcst time 4 hrs;from 201904260000
215;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 65000 Pa;fcst time 4 hrs;from 201904260000
216;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 65000 Pa;fcst time 4 hrs;from 201904260000
223;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 67500 Pa;fcst time 4 hrs;from 201904260000
224;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 67500 Pa;fcst time 4 hrs;from 201904260000
231;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 70000 Pa;fcst time 4 hrs;from 201904260000
232;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 70000 Pa;fcst time 4 hrs;from 201904260000
240;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 72500 Pa;fcst time 4 hrs;from 201904260000
241;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 72500 Pa;fcst time 4 hrs;from 201904260000
248;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 75000 Pa;fcst time 4 hrs;from 201904260000
249;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 75000 Pa;fcst time 4 hrs;from 201904260000
256;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 77500 Pa;fcst time 4 hrs;from 201904260000
257;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 77500 Pa;fcst time 4 hrs;from 201904260000
264;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 80000 Pa;fcst time 4 hrs;from 201904260000
265;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 80000 Pa;fcst time 4 hrs;from 201904260000
272;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 82500 Pa;fcst time 4 hrs;from 201904260000
273;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 82500 Pa;fcst time 4 hrs;from 201904260000
280;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 85000 Pa;fcst time 4 hrs;from 201904260000
281;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 85000 Pa;fcst time 4 hrs;from 201904260000
289;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 87500 Pa;fcst time 4 hrs;from 201904260000
290;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 87500 Pa;fcst time 4 hrs;from 201904260000
297;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 90000 Pa;fcst time 4 hrs;from 201904260000
298;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 90000 Pa;fcst time 4 hrs;from 201904260000
305;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 92500 Pa;fcst time 4 hrs;from 201904260000
306;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 92500 Pa;fcst time 4 hrs;from 201904260000
313;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 95000 Pa;fcst time 4 hrs;from 201904260000
314;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 95000 Pa;fcst time 4 hrs;from 201904260000
322;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 97500 Pa;fcst time 4 hrs;from 201904260000
323;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 97500 Pa;fcst time 4 hrs;from 201904260000
329;U component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 100000 Pa;fcst time 4 hrs;from 201904260000
330;V component of wind;m s**-1 (instant);lambert;isobaricInhPa;level 100000 Pa;fcst time 4 hrs;from 201904260000
369;10 metre U wind component;m s**-1 (instant);lambert;heightAboveGround;level 10 m;fcst time 4 hrs;from 201904260000
370;10 metre V wind component;m s**-1 (instant);lambert;heightAboveGround;level 10 m;fcst time 4 hrs;from 201904260000
400;U component of wind;m s**-1 (instant);lambert;tropopause;level 0;fcst time 4 hrs;from 201904260000
401;V component of wind;m s**-1 (instant);lambert;tropopause;level 0;fcst time 4 hrs;from 201904260000
403;U component of wind;m s**-1 (instant);lambert;maxWind;level 0;fcst time 4 hrs;from 201904260000
404;V component of wind;m s**-1 (instant);lambert;maxWind;level 0;fcst time 4 hrs;from 201904260000
408;U component of wind;m s**-1 (instant);lambert;heightAboveGround;level 80 m;fcst time 4 hrs;from 201904260000
409;V component of wind;m s**-1 (instant);lambert;heightAboveGround;level 80 m;fcst time 4 hrs;from 201904260000
414;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 3000-0 Pa;fcst time 4 hrs;from 201904260000
415;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 3000-0 Pa;fcst time 4 hrs;from 201904260000
419;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 6000-3000 Pa;fcst time 4 hrs;from 201904260000
420;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 6000-3000 Pa;fcst time 4 hrs;from 201904260000
423;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 9000-6000 Pa;fcst time 4 hrs;from 201904260000
424;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 9000-6000 Pa;fcst time 4 hrs;from 201904260000
427;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 12000-9000 Pa;fcst time 4 hrs;from 201904260000
428;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 12000-9000 Pa;fcst time 4 hrs;from 201904260000
431;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 15000-12000 Pa;fcst time 4 hrs;from 201904260000
432;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 15000-12000 Pa;fcst time 4 hrs;from 201904260000
435;U component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 18000-15000 Pa;fcst time 4 hrs;from 201904260000
436;V component of wind;m s**-1 (instant);lambert;pressureFromGroundLayer;levels 18000-15000 Pa;fcst time 4 hrs;from 201904260000
