"Antes";"Despues";"horas";"Antes_12";"hora_exe";"hora_fin";"date_exe"
2018-10-26 23:00:00;2018-10-27 01:00:00;2;2018-10-26 11:00:00;12;16;"20181026"
2018-10-29 00:00:00;2018-10-30 01:00:00;25;2018-10-28 12:00:00;12;39;"20181028"
2018-11-01 00:00:00;2018-11-04 01:00:00;73;2018-10-31 12:00:00;12;87;"20181031"
2018-11-04 23:00:00;2018-11-05 01:00:00;2;2018-11-04 11:00:00;12;16;"20181104"
2018-11-07 00:00:00;2018-11-08 01:00:00;25;2018-11-06 12:00:00;12;39;"20181106"
2018-11-08 23:00:00;2018-11-09 01:00:00;2;2018-11-08 11:00:00;12;16;"20181108"
2018-11-15 00:00:00;2018-11-19 01:00:00;97;2018-11-14 12:00:00;12;111;"20181114"
2018-11-20 23:00:00;2018-11-21 01:00:00;2;2018-11-20 11:00:00;12;16;"20181120"
2018-11-22 00:00:00;2018-11-23 01:00:00;25;2018-11-21 12:00:00;12;39;"20181121"
2018-11-25 23:00:00;2018-11-26 01:00:00;2;2018-11-25 11:00:00;12;16;"20181125"
2018-11-26 23:00:00;2018-11-27 01:00:00;2;2018-11-26 11:00:00;12;16;"20181126"
2018-11-28 23:00:00;2018-11-29 01:00:00;2;2018-11-28 11:00:00;12;16;"20181128"
2018-11-29 23:00:00;2018-11-30 01:00:00;2;2018-11-29 11:00:00;12;16;"20181129"
2018-12-06 00:00:00;2018-12-08 01:00:00;49;2018-12-05 12:00:00;12;63;"20181205"
2018-12-08 23:00:00;2018-12-09 01:00:00;2;2018-12-08 11:00:00;12;16;"20181208"
2018-12-10 23:00:00;2018-12-11 01:00:00;2;2018-12-10 11:00:00;12;16;"20181210"
2018-12-11 23:00:00;2018-12-12 01:00:00;2;2018-12-11 11:00:00;12;16;"20181211"
2019-01-17 23:00:00;2019-01-18 01:00:00;2;2019-01-17 11:00:00;12;16;"20190117"
2019-01-18 23:00:00;2019-01-19 01:00:00;2;2019-01-18 11:00:00;12;16;"20190118"
2019-02-14 00:00:00;2019-02-15 01:00:00;25;2019-02-13 12:00:00;12;39;"20190213"
2019-02-19 23:00:00;2019-02-20 01:00:00;2;2019-02-19 11:00:00;12;16;"20190219"
2019-02-20 23:00:00;2019-02-21 01:00:00;2;2019-02-20 11:00:00;12;16;"20190220"
2019-02-28 00:00:00;2019-03-01 01:00:00;25;2019-02-27 12:00:00;12;39;"20190227"
2019-03-01 23:00:00;2019-03-02 01:00:00;2;2019-03-01 11:00:00;12;16;"20190301"
2019-03-19 00:00:00;2019-03-20 01:00:00;25;2019-03-18 12:00:00;12;39;"20190318"
2019-03-22 00:00:00;2019-03-24 01:00:00;49;2019-03-21 12:00:00;12;63;"20190321"
2019-03-24 23:00:00;2019-03-25 01:00:00;2;2019-03-24 11:00:00;12;16;"20190324"
2019-03-27 00:00:00;2019-03-31 01:00:00;97;2019-03-26 12:00:00;12;111;"20190326"
2019-03-31 23:00:00;2019-04-01 01:00:00;2;2019-03-31 11:00:00;12;16;"20190331"
2019-05-05 23:00:00;2019-05-06 01:00:00;2;2019-05-05 11:00:00;12;16;"20190505"
2019-05-06 23:00:00;2019-05-07 01:00:00;2;2019-05-06 11:00:00;12;16;"20190506"
